source_keyword,note_id,type,title,desc,time,last_update_time,time_readable,last_update_time_readable,user_id,nickname,liked_count,collected_count,comment_count,share_count,ip_location,tag_list,crawl_date,note_url
断网,6660b5d70000000015013939,normal,运营商朋友教我找宽带替代，别搜随身WiFi ！,"最近我家拉宽带，发现老小区光纤入户很麻烦，旧网线被垄断不好用，于是想起随身Wi-Fi这东西，研究了一宿又问了专业人士，发现这水有够深，顺便写成一篇笔记分享一下。
🌟随身Wi-Fi的本质是：流量卡开热点。他们的流量卡之所以比常用手机卡便宜，是因为它们都是物联网卡，运营商不单卖，而是打包卖给企业用于产品联网，流量池是共享的。
🌟网络速度和稳定性：基本全都是4G卡！你看它们产品图上大大的“5G”，但角落加小小的“+hz”，详情也都语焉不详，要是真5G它们早就大肆宣传了！实际就是旧手机开4G热点的效果，且流量经过第三方平台转发，还有一定风险。
🌟常见套路：
虚假评论：打开购物平台，上万好评，仔细去翻会发现全都是最近一两周评价，且都是当天追评；只能从非常零星的提问评论里发现问题：
流量虚标：他们在页面写一百G几毛钱，敢写一个月3000G，但实际上这些卡的总流量池可能就3000G，细看详情小字写“禁止p2下载”（应该是P2P），“电信单月超过500G断网”，可以看出他们也很怕你用超了，流量池用完了全部断，所以必然有虚标或者限速的情况。
第三方隐形收费：共用流量池的概念也说明了他们实际上卖流量就已经无本万利。你通过它上网的所有流量都要通过第三方平台，于是你会看到第二个月起要充值预存上百元的，一开始微信支付后来变成充值支付的，偷偷涨价的，在条款里偷偷给你加月租的，必须加钱才不限速的…我还有点担心，激活的身份信息也是在第三方完成，这些小平台不知道会做什么。
🌟使用体验：我采访了身边在使用的朋友，他买了一个在新能源车上用，50元买设备，300元流量包年，原话：“导航够用，也就3.5G的速度吧”
🌟🌟运营商朋友给我发了内部ppt，我依葫芦画瓢去搜了“CPE路由器”，出来的结果纯净专业很多！至少没有那么吓人的宣传和刷单好评。这是免插网线的路由器。我看到某为有几款跟联x合作似乎是真5G，但好贵，盛惠八百加六百包年，适合常年在外住的商务人士（老板们）呜呜[哭惹R]看卖cpe路由的店里也有便宜些的4G卡版和随身版，能感觉到去除水分后真实价格。
🌟🌟🌟另外也有朋友给我推荐，去某B上搜流量卡或流量套餐推荐，一般评论区就有链接，是很多运营商为了完成开卡任务的低价卡，月租二三十几百G，也是比较不错的价格。
#随身wifi[话题]#  #避雷[话题]# #流量卡[话题]# #租房推荐[话题]#",1717646493000,1717614039000,2024-06-06 12:01:33,2024-06-06 03:00:39,65f3506e0000000005009589,天气这么好为什么要上班,1299,1175,126,537,,"随身wifi,避雷,流量卡,租房推荐",2024-11-22,https://www.xiaohongshu.com/explore/6660b5d70000000015013939?xsec_token=ABHNJ2-1OuZWjnUb3mlUhT_fP3eriSz1o61CI0cVbgu6I=&xsec_source=pc_search
放下手机,65e5c621000000000b0205fb,normal,花5000买的新手机😫被人嘲笑是杂牌机,"如果给Xperia注入完全体的Flyme，
有没有可能成为比21 Pro更好用的手机？
-
说实话价格公布之后还是挺意外（偏高），
似乎广域超声波指纹成了最大卖点？
设计和颜值方面的口碑两极分化严重，
没有当年坚果R2光阴特别版那种一致好评。
但一眼看过去还是挺吸睛的，
修长的机身握在手里还是挺有感觉。
关键是拍照真的变强了，
虽然只是赶上了头部的去年水平。
-
希望魅族的All in AI能走出一条光明大道，
而不是简单取了All in的首字母吧！
	
#魅族21pro[话题]# #数码大玩家[话题]# #flyme[话题]# #我的魅族手机[话题]#",1709557281000,1709727435000,2024-03-04 21:01:21,2024-03-06 20:17:15,5b3d8a5b11be10475a61a7ea,喵什么总,2488,555,606,95,,"魅族21pro,数码大玩家,flyme,我的魅族手机",2024-11-21,https://www.xiaohongshu.com/explore/65e5c621000000000b0205fb?xsec_token=ABM5l9TTaSOqdr6_NMIHhX_TAElCffgl10jTN7J8E8kic=&xsec_source=pc_search
手机沉迷,64883b730000000007038c1e,video,孩子沉迷手机，这样做容易加重他逆反心理,#家庭教育[话题]#  #孩子教育[话题]#  #孩子玩手机[话题]#,1686649715000,1686649716000,2023-06-13 17:48:35,2023-06-13 17:48:36,629daffc0000000015015e35,菠萝哥哥-青少年心理,143,91,8,55,,"家庭教育,孩子教育,孩子玩手机",2024-12-10,https://www.xiaohongshu.com/explore/64883b730000000007038c1e?xsec_token=ABBQulQ8sdZ6azsc4borOaGb1uFeaOXL5-yUOaqdc58W0=&xsec_source=pc_search
放下手机,67000222000000002a032e02,normal,观察到美国大学教授一个能替代玩手机的习惯,"毕业后留在科研组工作的时间变多了
对组里这位一头白发却精神奕奕的教授和几位在组里全职了好几年的白人女生也有了更多的观察
尤其是今年大选，会听到大家很多私下关于美国社会问题的讨论
这个教育系统确实很强调选择和阐述自己的观点
	
回到正题，最近发现他们有一个看似简单但实际很耗时的习惯：
几乎每个人都订阅了多个新闻
包括那些大的新闻媒体，比如纽约时报和Associated Press，或者是大学里的校内报纸，比如Crimson
	
很多时候我们组里的small talk就围绕着分享自己看到的有趣的头条内容
这种时刻也让我突然开始反思自己……
我想不起上一次我不是为了写作业而认真读一整篇新闻报道是什么时候了
组里这位老教授甚至不仅会读自己国家的内容，还包括国际新闻和其他国家的当地报纸
我经常会在起床后收到他群发组里所有人的邮件
有时候是一篇他读到觉得有意思的文章，有时候甚至只是截图出来的一张和我们研究相关的漫画
这些微小的积累让他可以和来自很多不同地区和学科领域的人探讨观点
	
“The media doesn’t tell us what to think, but what to think about.”
也许每天看什么东西就像吃什么饭一样，咽下口的食物会决定身体以什么为养料，每天看什么内容也会决定我们思考哪些问题
说实话，现代人很难去彻底改变玩手机这个习惯本身，但是更容易改变用手机来做什么
听起来有点老派，但是读新闻可以是个很好的开始
不只是盲目的读，也不是读任何别人觉得重要的内容
而是读任何自己感兴趣的话题，是读完后和更多人分享，让这个习惯成为兴趣和社交的一部分
	
这也让我想起“到底怎么找到自己的兴趣”这个问题
诚然兴趣与天赋相关，但许多兴趣也在于后天培养
	
有时候需要去反思自己每天的时间都花在了哪些事情上
尤其是没有人管的、放学或下班后的时间
如果我每天玩手机的时候在看剧，那我便是给自己培养看剧的兴趣，其他事情也同理
偶尔要抽离出这些事带来的短暂的快乐，问问自己：
这是我真正想培养的爱好、是我想成为的人吗？
	
#碎碎念[话题]# #留学生日常[话题]# #研究生[话题]# #学习分享[话题]# #教育[话题]# #不玩手机可以玩什么[话题]#",1728053794000,1728053882000,2024-10-04 22:56:34,2024-10-04 22:58:02,5b8d4e099893db00016a2773,Elaine小阎,1.5万,8100,517,603,,"碎碎念,留学生日常,研究生,学习分享,教育,不玩手机可以玩什么",2024-11-22,https://www.xiaohongshu.com/explore/67000222000000002a032e02?xsec_token=AB4sRtnK-_uisAzs6n3ufHQJU6Pgx6_x5GX7XwdiRk4nw=&xsec_source=pc_search
手机依赖症,6598a2e4000000001a02b8ec,normal,孩子沉迷手机，对大脑的4种危害，父母必看,#父母与孩子[话题]# #孩子教育[话题]# #父母课堂[话题]# #智慧父母[话题]# #家庭教育经验分享[话题]# #手机成瘾[话题]# #成瘾[话题]# #青少年心理[话题]# #成都青少年[话题]# #成都青少年心理咨询[话题]#,1704501988000,1704501989000,2024-01-06 08:46:28,2024-01-06 08:46:29,6537686c000000000400a20b,米悦云鸥心理咨询,7027,9091,244,8499,,"父母与孩子,孩子教育,父母课堂,智慧父母,家庭教育经验分享,手机成瘾,成瘾,青少年心理,成都青少年,成都青少年心理咨询",2024-11-20,https://www.xiaohongshu.com/explore/6598a2e4000000001a02b8ec?xsec_token=ABmEGR5TMEe6YyQvz7urRHEoGW-0LEtxBS7dmbWLiDELM=&xsec_source=pc_search
沉迷手机,673efc66000000000702bf0f,video,沉迷手机的孩子，原来会导致3个严重后果！家长快点收藏起来吧！﻿#沉迷手机的孩子怎么教育[话题]#﻿ ﻿#家长必读[话题]#﻿ ﻿#孩子教育[话题]#﻿ ﻿#沉迷手机[话题]#﻿,沉迷手机的孩子，原来会导致3个严重后果！家长快点收藏起来吧！﻿#沉迷手机的孩子怎么教育[话题]#﻿ ﻿#家长必读[话题]#﻿ ﻿#孩子教育[话题]#﻿ ﻿#沉迷手机[话题]#﻿,1732184690000,1732181094000,2024-11-21 18:24:50,2024-11-21 17:24:54,6708d83e000000001d020cf5,李阳老师丨家庭教育,0,0,0,0,山东,"沉迷手机的孩子怎么教育,家长必读,孩子教育,沉迷手机",2024-11-21,https://www.xiaohongshu.com/explore/673efc66000000000702bf0f?xsec_token=ABf_KvqTdBM-eYiCtltsBuWYtt6LXraDcF5xPVtM3lo6o=&xsec_source=pc_search
手机依赖症,665467800000000005007b8b,normal,你的手机要“吃”了你,"如今手机成瘾已经成为不容忽视的一个社会议题。这些海报是我个人对这个议题的一个小小的回应。为此我用了一些比较有趣的设定和创意。加入了外星生物，动物和科技牢笼这样的一些有趣思路。如果您也是一个手机三分钟不离手的人，希望看到这些海报能够会心一笑。
#海报设计[话题]#  #公益海报[话题]#  #手机成瘾[话题]#  #网路成瘾[话题]#  #有趣海报[话题]#  #视觉设计[话题]#  #视觉传达[话题]#  #原创设计[话题]#  @我要上热门",1716807552000,1716807553000,2024-05-27 18:59:12,2024-05-27 18:59:13,64bf453f000000001403bd29,莫小闲设计师事务所,16,9,2,5,,"海报设计,公益海报,手机成瘾,网路成瘾,有趣海报,视觉设计,视觉传达,原创设计",2024-11-20,https://www.xiaohongshu.com/explore/665467800000000005007b8b?xsec_token=ABhGn21plV344XHQsgWXdleWSFqd1viQ9Dp2P01kl-voE=&xsec_source=pc_search
断网生活,67132d99000000002100be9f,normal,震惊！某位极简博主塌房了…,"之前我一直是自己独居，偶尔放假我妈会来暂住，每次只呆几周，她的物品也就不多。
	
上个月她退休了，搬来和我一起住，情况开始失控了。[石化R][石化R][石化R]看着屋里到处是她成堆的物品，真的很无奈，感觉房子已经变成我不认识的样子了[失望R]
	
她很擅长物尽其用[点赞R]，但什么都留着就是一种负担。在搬来之前我已经让她自己筛掉无用的杂物了。
	
/
	
[黑薯问号R]结果发现她的衣服数量是我的几倍，即便长年不穿，或者穿着极丑，她也会像宝贝一样留着，然后堆放在各处（因为衣柜已经放不下了…）
	
鞋子也是超多双，围巾从来不带，也要有十几条…
我的客厅、床上、沙发开始长东西了，各种零钱、纸巾、衣服、小物品，从来没有固定的位置。
	
现在家里除了书桌完全属于我，其它的地方已经没法出镜了。
	
/
	
果然，独居才适合断舍离，一家人在一起住只能互相迁就。
	
准备先尝试让她断舍离，处理一些无用的杂物，如果失败了，我这个小粉极简博主可能以后要换赛道了…[再见R][再见R][再见R]
#极简生活主义[话题]# #极简[话题]# #断舍离[话题]# #断舍离极简生活[话题]#",1729310105000,1729310106000,2024-10-19 11:55:05,2024-10-19 11:55:06,6091fd27000000000100921c,杜杜的简单生活,791,113,235,36,,"极简生活主义,极简,断舍离,断舍离极简生活",2024-12-03,https://www.xiaohongshu.com/explore/67132d99000000002100be9f?xsec_token=ABEgM5sRBeihls5Jqp6T-WadygstEYaKma2SHpl2_nIVs=&xsec_source=pc_search
断网生活,673ecf7200000000080047cc,normal,炸弹气旋第一天,"两件事足以让你起床感觉天都塌了，
手机没电和段网！
赶紧洗漱完毕带娃一路开出去，
路上都是残枝败叶，
一夜，路口红绿灯居然修复好了，欣悉！
灵感告诉我冰场有电有网，
一路往北开，
果然，看到拿着星巴克杯子出来的俊男靓女就知道有戏！
饿了一晚上，
一杯Iced Espresso下肚，
一秒入魂！
还是来晚了，早起的鸟儿有电充，
根本抢不到位置了！
离孩子冰球课开始还早，
抽空去了趟Woodland动物园看看咱“远房亲戚”黑猩猩，正在悠哉悠哉地躺着，仿佛在嘲笑着我们人类，不知道每天在忙些啥？！
花灯也装好了，真有我小时候看花灯的感觉啊！
天黑了，
吃完热腾腾的拉面🍜回到漆黑黑的家🏠！
在想明天是否可以一路向东到德国小镇玩玩？
	
#西雅图[话题]# #炸弹气旋[话题]# #疾风[话题]# #断电断网的日子[话题]# #西天取经[话题]#",1732169586000,1732169586000,2024-11-21 14:13:06,2024-11-21 14:13:06,582001995e87e73871505a26,QIN,10,2,1,0,美国,"西雅图,炸弹气旋,疾风,断电断网的日子,西天取经",2024-12-03,https://www.xiaohongshu.com/explore/673ecf7200000000080047cc?xsec_token=ABf_KvqTdBM-eYiCtltsBuWcIWdMpneFKVpomYGKhtTA8=&xsec_source=pc_search
手机沉迷,67582620000000000603ffdc,video,孩子沉迷手机会造成三个非常可怕的后果,#家长必读[话题]# #家庭教育[话题]# #孩子沉迷手机[话题]#,1733830176000,1733830177000,2024-12-10 19:29:36,2024-12-10 19:29:37,66c2e445000000001d020bfc,赵老师教育课堂🎋,0,0,0,3,山东,"家长必读,家庭教育,孩子沉迷手机",2024-12-10,https://www.xiaohongshu.com/explore/67582620000000000603ffdc?xsec_token=AB7Tv0Jg-xEyEZNYZU8w1aSCyxxW1ce_sdVKWiugQmDSA=&xsec_source=pc_search
